feature,importance
sub_grade_num,0.5127717146440723
issue_year,0.06917594628661024
term,0.06739416003052574
dti,0.042891906242766134
home_ownership_num,0.03822536643941061
income_to_loan,0.033203492416737986
fico_range_low,0.03068993986974342
mort_acc,0.022997237239399403
installment_burden,0.022185587462284093
int_rate,0.018165009790744868
annual_inc,0.017586594739363005
credit_history_months,0.017484880656987344
total_rev_hi_lim,0.014071914913162734
loan_to_income,0.01390827118189182
installment,0.01238323325260113
emp_length,0.01190840092781768
revol_bal,0.011396594776911594
open_acc,0.010446780073948243
inq_last_6mths,0.009950362086167947
loan_amnt,0.007129320797736537
revol_util,0.006969883438491285
total_acc,0.005650982734911318
delinq_2yrs,0.002307415875707555
pub_rec,0.0008701595768194445
high_risk_credit,0.00023484454518761627
high_dti,0.0
